Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Text_Extracted,Confidence_Score
IMG_1190,Vehicle Accident,motorcycle,1 regions detected,,0.267
IMG_1191,Fire Scene,tie,1 regions detected,,0.66
IMG_1192,Assault / Violence,knife,1 regions detected,,0.353
IMG_1193,Fire Scene,tie,1 regions detected,,0.356
IMG_1194,Fire Scene,tie,1 regions detected,,0.378
IMG_1195,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1196,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1197,Fire Scene,fire (color-based),color analysis,,0.65
IMG_1198,Unknown,carrot,1 regions detected,,0.419
IMG_1199,Unknown,"traffic light, surfboard",2 regions detected,,0.822
IMG_1200,Assault / Violence,"banana, person",2 regions detected,,0.342
IMG_1201,Unknown,"airplane, bottle, boat",3 regions detected,,0.385
IMG_1202,Unknown,fire (color-based),color analysis,,0.22
IMG_1203,Unknown,surfboard,1 regions detected,,0.817
IMG_1204,Unknown,"dining table, surfboard",2 regions detected,,0.355
IMG_1205,Unknown,fire (color-based),color analysis,,0.35
IMG_1206,Unknown,fire (color-based),color analysis,,0.0
IMG_1207,Unknown,fire (color-based),color analysis,,0.01
IMG_1208,Unknown,fire (color-based),color analysis,y Tih,0.01
IMG_1209,Unknown,fire (color-based),color analysis,"NN a i Rt Na | an, Haat my Ni i i",0.01
IMG_1210,Assault / Violence,person,1 regions detected,,0.332
IMG_1211,Unknown,fire (color-based),color analysis,,0.01
IMG_1212,Unknown,fire (color-based),color analysis,,0.01
IMG_1213,Unknown,fire (color-based),color analysis,,0.01
IMG_1214,Unknown,fire (color-based),color analysis,,0.01
IMG_1215,Unknown,fire (color-based),color analysis,,0.25
IMG_1216,Unknown,fire (color-based),color analysis,,0.15
IMG_1217,Unknown,fire (color-based),color analysis,,0.1
IMG_1218,Unknown,fire (color-based),color analysis,,0.26
IMG_1219,Unknown,fire (color-based),color analysis,,0.03
IMG_1220,Unknown,fire (color-based),color analysis,,0.19
IMG_1221,Unknown,train,2 regions detected,,0.303
IMG_1222,Unknown,fire (color-based),color analysis,,0.25
IMG_1223,Unknown,tie,1 regions detected,,0.284
IMG_1224,Unknown,fire (color-based),color analysis,,0.34
IMG_1225,Assault / Violence,"dining table, knife",3 regions detected,,0.648
IMG_1226,Unknown,fire (color-based),color analysis,,0.18
IMG_1227,Assault / Violence,"banana, knife",2 regions detected,,0.302
IMG_1228,Unknown,hot dog,1 regions detected,,0.384
IMG_1229,Unknown,surfboard,1 regions detected,,0.466
IMG_1230,Assault / Violence,"carrot, knife",3 regions detected,,0.489
IMG_1231,Unknown,bottle,1 regions detected,,0.3
IMG_1232,Assault / Violence,"tie, knife",2 regions detected,,0.453
IMG_1233,Fire Scene,carrot,2 regions detected,,0.385
IMG_1234,Fire Scene,fire (color-based),color analysis,,0.54
IMG_1235,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1236,Fire Scene,fire (color-based),color analysis,,0.76
IMG_1237,Fire Scene,fire (color-based),color analysis,,0.65
IMG_1238,Fire Scene,bird,1 regions detected,,0.304
IMG_1239,Fire Scene,fire (color-based),color analysis,,0.93
IMG_1240,Assault / Violence,knife,1 regions detected,,0.291
IMG_1241,Fire Scene,cake,1 regions detected,,0.29
IMG_1242,Unknown,fire (color-based),color analysis,ow | | a Reta ecag oiler),0.05
IMG_1243,Assault / Violence,person,8 regions detected,,0.675
IMG_1244,Assault / Violence,person,9 regions detected,,0.572
IMG_1245,Unknown,fire (color-based),color analysis,,0.08
IMG_1246,Unknown,fire (color-based),color analysis,,0.04
IMG_1247,Assault / Violence,"tie, person",2 regions detected,,0.678
IMG_1248,Unknown,fire (color-based),color analysis,,0.14
IMG_1249,Unknown,fire (color-based),color analysis,co eae gjoyd xaos Aweje uy ¥ ee),0.17
IMG_1250,Unknown,tie,2 regions detected,,0.442
IMG_1251,Unknown,fire (color-based),color analysis,,0.24
IMG_1252,Unknown,carrot,1 regions detected,,0.55
IMG_1253,Assault / Violence,knife,2 regions detected,,0.364
IMG_1254,Assault / Violence,"pizza, vase, knife",3 regions detected,,0.394
IMG_1255,Unknown,fire (color-based),color analysis,,0.43
IMG_1256,Assault / Violence,knife,1 regions detected,,0.282
IMG_1257,Unknown,fire (color-based),color analysis,,0.41
IMG_1258,Unknown,"pizza, airplane",2 regions detected,,0.39
IMG_1259,Assault / Violence,knife,2 regions detected,,0.387
IMG_1260,Unknown,fire (color-based),color analysis,,0.26
IMG_1261,Unknown,fire (color-based),color analysis,,0.22
IMG_1262,Unknown,fire (color-based),color analysis,,0.2
IMG_1263,Unknown,fire (color-based),color analysis,,0.3
IMG_1264,Unknown,fire (color-based),color analysis,,0.23
IMG_1265,Unknown,fire (color-based),color analysis,,0.2
IMG_1266,Unknown,fire (color-based),color analysis,,0.25
IMG_1267,Unknown,fire (color-based),color analysis,,0.22
IMG_1268,Unknown,fire (color-based),color analysis,,0.25
IMG_1269,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1270,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1271,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1272,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1273,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1274,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1275,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1276,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1277,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1278,Unknown,fire (color-based),color analysis,,0.43
IMG_1279,Unknown,fire (color-based),color analysis,,0.31
IMG_1280,Fire Scene,tie,1 regions detected,,0.399
IMG_1281,Fire Scene,fire (color-based),color analysis,,0.55
IMG_1282,Fire Scene,fire (color-based),color analysis,,0.55
IMG_1283,Unknown,fire (color-based),color analysis,,0.47
IMG_1284,Fire Scene,fire (color-based),color analysis,,0.68
IMG_1285,Unknown,fire (color-based),color analysis,,0.37
IMG_1286,Unknown,refrigerator,1 regions detected,,0.537
IMG_1287,Unknown,fire (color-based),color analysis,,0.2
IMG_1288,Unknown,fire (color-based),color analysis,,0.09
IMG_1289,Unknown,fire (color-based),color analysis,,0.09
IMG_1290,Unknown,fire (color-based),color analysis,,0.1
IMG_1291,Unknown,fire (color-based),color analysis,,0.18
IMG_1292,Unknown,fire (color-based),color analysis,,0.1
IMG_1293,Unknown,tie,1 regions detected,,0.839
IMG_1294,Unknown,fire (color-based),color analysis,,0.06
IMG_1295,Unknown,fire (color-based),color analysis,,0.09
IMG_1296,Fire Scene,sports ball,1 regions detected,,0.462
IMG_1297,Fire Scene,fire (color-based),color analysis,,0.85
IMG_1298,Fire Scene,fire (color-based),color analysis,,0.77
IMG_1299,Assault / Violence,person,2 regions detected,,0.579
IMG_1300,Unknown,fire (color-based),color analysis,,0.19
IMG_1301,Fire Scene,fire (color-based),color analysis,4 $ PS ee,0.78
IMG_1302,Fire Scene,tie,1 regions detected,,0.279
IMG_1303,Fire Scene,fire (color-based),color analysis,eS i C | ofa |,0.99
IMG_1304,Fire Scene,fire (color-based),color analysis,az ss 55 ies,0.83
IMG_1305,Unknown,fire (color-based),color analysis,,0.03
IMG_1306,Unknown,train,1 regions detected,,0.415
IMG_1307,Unknown,fire (color-based),color analysis,,0.01
IMG_1308,Unknown,fire (color-based),color analysis,,0.03
IMG_1309,Unknown,fire (color-based),color analysis,,0.03
IMG_1310,Assault / Violence,"tie, person",4 regions detected,,0.581
IMG_1311,Unknown,fire (color-based),color analysis,,0.03
IMG_1312,Unknown,fire (color-based),color analysis,,0.03
IMG_1313,Unknown,fire (color-based),color analysis,,0.03
IMG_1314,Assault / Violence,person,2 regions detected,,0.544
IMG_1315,Fire Scene,carrot,1 regions detected,,0.442
IMG_1316,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1317,Assault / Violence,person,1 regions detected,,0.471
IMG_1318,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1319,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1320,Fire Scene,carrot,1 regions detected,,0.587
IMG_1321,Vehicle Accident,"car, person",5 regions detected,,0.835
IMG_1322,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1323,Unknown,bed,1 regions detected,,0.291
IMG_1324,Unknown,fire (color-based),color analysis,,0.0
IMG_1325,Unknown,fire (color-based),color analysis,,0.0
IMG_1326,Unknown,tie,1 regions detected,,0.294
IMG_1327,Unknown,fire (color-based),color analysis,,0.0
IMG_1328,Unknown,fire (color-based),color analysis,,0.0
IMG_1329,Unknown,fire (color-based),color analysis,,0.0
IMG_1330,Unknown,fire (color-based),color analysis,,0.0
IMG_1331,Unknown,fire (color-based),color analysis,,0.0
IMG_1332,Fire Scene,fire (color-based),color analysis,,0.68
IMG_1333,Fire Scene,fire (color-based),color analysis,,0.89
IMG_1334,Fire Scene,"pizza, tie",2 regions detected,,0.36
IMG_1335,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1336,Unknown,tie,1 regions detected,,0.449
IMG_1337,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1338,Unknown,fire (color-based),color analysis,,0.18
IMG_1339,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1340,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1341,Assault / Violence,person,3 regions detected,,0.763
IMG_1342,Fire Scene,pizza,1 regions detected,,0.451
IMG_1343,Fire Scene,bottle,3 regions detected,,0.391
IMG_1344,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1345,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1346,Assault / Violence,person,2 regions detected,,0.715
IMG_1347,Fire Scene,pizza,1 regions detected,,0.308
IMG_1348,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1349,Fire Scene,tie,1 regions detected,,0.73
IMG_1350,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1351,Fire Scene,fire (color-based),color analysis,,0.53
IMG_1352,Fire Scene,fire (color-based),color analysis,,0.81
IMG_1353,Assault / Violence,"pizza, knife",2 regions detected,,0.371
IMG_1354,Fire Scene,fire (color-based),color analysis,,0.62
IMG_1355,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1356,Fire Scene,pizza,1 regions detected,,0.423
IMG_1357,Fire Scene,dog,1 regions detected,,0.258
IMG_1358,Fire Scene,pizza,1 regions detected,,0.441
IMG_1359,Fire Scene,fire (color-based),color analysis,,0.58
IMG_1360,Fire Scene,pizza,1 regions detected,,0.533
IMG_1361,Fire Scene,pizza,1 regions detected,,0.637
IMG_1362,Unknown,fire (color-based),color analysis,,0.35
IMG_1363,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1364,Fire Scene,fire (color-based),color analysis,,0.6
IMG_1365,Unknown,pizza,1 regions detected,,0.351
IMG_1366,Fire Scene,pizza,1 regions detected,,0.288
IMG_1367,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1368,Unknown,fire (color-based),color analysis,,0.05
IMG_1369,Unknown,fire (color-based),color analysis,,0.09
IMG_1370,Unknown,tie,1 regions detected,,0.337
IMG_1371,Unknown,fire (color-based),color analysis,,0.08
IMG_1372,Unknown,fire (color-based),color analysis,,0.08
IMG_1373,Vehicle Accident,car,1 regions detected,,0.322
IMG_1374,Unknown,fire (color-based),color analysis,,0.04
IMG_1375,Unknown,vase,1 regions detected,,0.327
IMG_1376,Unknown,fire (color-based),color analysis,,0.08
IMG_1377,Unknown,mouse,1 regions detected,,0.377
IMG_1378,Unknown,fire (color-based),color analysis,,0.0
IMG_1379,Unknown,fire (color-based),color analysis,,0.0
IMG_1380,Unknown,"tie, vase",2 regions detected,,0.394
IMG_1381,Unknown,fire (color-based),color analysis,,0.0
IMG_1382,Unknown,tie,4 regions detected,,0.484
IMG_1383,Unknown,train,1 regions detected,,0.27
IMG_1384,Unknown,fire (color-based),color analysis,,0.0
IMG_1385,Unknown,fire (color-based),color analysis,,0.0
IMG_1386,Fire Scene,fire (color-based),color analysis,,0.89
IMG_1387,Fire Scene,fire (color-based),color analysis,,0.52
IMG_1388,Fire Scene,fire (color-based),color analysis,,0.69
IMG_1389,Fire Scene,pizza,1 regions detected,,0.357
IMG_1390,Unknown,pizza,1 regions detected,,0.481
IMG_1391,Fire Scene,fire (color-based),color analysis,,0.64
IMG_1392,Fire Scene,"pizza, umbrella",2 regions detected,,0.361
IMG_1393,Fire Scene,pizza,1 regions detected,,0.429
IMG_1394,Assault / Violence,knife,1 regions detected,,0.285
IMG_1395,Unknown,tie,1 regions detected,,0.719
IMG_1396,Unknown,fire (color-based),color analysis,,0.0
IMG_1397,Unknown,fire (color-based),color analysis,,0.0
IMG_1398,Unknown,fire (color-based),color analysis,,0.0
IMG_1399,Unknown,vase,1 regions detected,,0.525
IMG_1400,Unknown,"tie, vase",2 regions detected,,0.42
IMG_1401,Unknown,fire (color-based),color analysis,,0.0
IMG_1402,Unknown,fire (color-based),color analysis,,0.0
IMG_1403,Unknown,fire (color-based),color analysis,,0.0
IMG_1404,Unknown,tie,1 regions detected,,0.268
IMG_1405,Unknown,fire (color-based),color analysis,,0.0
IMG_1406,Unknown,tie,2 regions detected,,0.756
IMG_1407,Vehicle Accident,car,1 regions detected,,0.252
IMG_1408,Unknown,fire (color-based),color analysis,,0.0
IMG_1409,Unknown,fire (color-based),color analysis,,0.0
IMG_1410,Unknown,fire (color-based),color analysis,,0.0
IMG_1411,Unknown,fire (color-based),color analysis,,0.0
IMG_1412,Unknown,fire (color-based),color analysis,,0.0
IMG_1413,Unknown,fire (color-based),color analysis,,0.0
IMG_1414,Assault / Violence,knife,1 regions detected,,0.252
IMG_1415,Unknown,fire (color-based),color analysis,,0.0
IMG_1416,Unknown,fire (color-based),color analysis,,0.0
IMG_1417,Vehicle Accident,car,1 regions detected,,0.274
IMG_1418,Unknown,fire (color-based),color analysis,,0.0
IMG_1419,Unknown,fire (color-based),color analysis,,0.0
IMG_1420,Assault / Violence,knife,1 regions detected,,0.38
IMG_1421,Unknown,fire (color-based),color analysis,,0.0
IMG_1422,Unknown,fire (color-based),color analysis,,0.06
IMG_1423,Unknown,fire (color-based),color analysis,,0.06
IMG_1424,Unknown,tie,2 regions detected,,0.53
IMG_1425,Unknown,fire (color-based),color analysis,,0.04
IMG_1426,Unknown,tie,1 regions detected,,0.385
IMG_1427,Unknown,fire (color-based),color analysis,,0.07
IMG_1428,Unknown,fire (color-based),color analysis,,0.06
IMG_1429,Unknown,fire (color-based),color analysis,,0.06
IMG_1430,Unknown,tie,1 regions detected,,0.287
IMG_1431,Unknown,fork,1 regions detected,,0.539
IMG_1432,Unknown,fire (color-based),color analysis,,0.08
IMG_1433,Vehicle Accident,"car, mouse",2 regions detected,,0.369
IMG_1434,Unknown,fire (color-based),color analysis,,0.15
IMG_1435,Unknown,fire (color-based),color analysis,,0.13
IMG_1436,Unknown,fire (color-based),color analysis,,0.09
IMG_1437,Unknown,airplane,1 regions detected,,0.265
IMG_1438,Unknown,tie,1 regions detected,,0.361
IMG_1439,Unknown,fire (color-based),color analysis,,0.12
IMG_1440,Unknown,train,1 regions detected,,0.305
IMG_1441,Unknown,tie,1 regions detected,,0.281
IMG_1442,Unknown,fire (color-based),color analysis,,0.07
IMG_1443,Unknown,fire (color-based),color analysis,,0.03
IMG_1444,Unknown,train,1 regions detected,,0.319
IMG_1445,Unknown,fire (color-based),color analysis,,0.02
IMG_1446,Unknown,fire (color-based),color analysis,,0.02
IMG_1447,Vehicle Accident,car,1 regions detected,,0.251
IMG_1448,Unknown,tie,1 regions detected,,0.316
IMG_1449,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1450,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1451,Fire Scene,umbrella,1 regions detected,,0.301
IMG_1452,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1453,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1454,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1455,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1456,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1457,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1458,Fire Scene,tie,3 regions detected,,0.461
IMG_1459,Fire Scene,"umbrella, toilet",2 regions detected,,0.278
IMG_1460,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1461,Fire Scene,"chair, oven",2 regions detected,,0.699
IMG_1462,Fire Scene,umbrella,1 regions detected,,0.556
IMG_1463,Assault / Violence,"oven, person",2 regions detected,,0.351
IMG_1464,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1465,Fire Scene,"carrot, tie",7 regions detected,,0.749
IMG_1466,Fire Scene,umbrella,1 regions detected,,0.651
IMG_1467,Unknown,fire (color-based),color analysis,,0.02
IMG_1468,Unknown,fire (color-based),color analysis,,0.02
IMG_1469,Unknown,fire (color-based),color analysis,,0.02
IMG_1470,Unknown,vase,1 regions detected,,0.292
IMG_1471,Unknown,fire (color-based),color analysis,,0.02
IMG_1472,Unknown,vase,1 regions detected,,0.266
IMG_1473,Unknown,mouse,1 regions detected,,0.353
IMG_1474,Unknown,fire (color-based),color analysis,,0.02
IMG_1475,Unknown,tie,1 regions detected,,0.294
IMG_1476,Unknown,tie,2 regions detected,,0.502
IMG_1477,Unknown,fire (color-based),color analysis,,0.13
IMG_1478,Unknown,fire (color-based),color analysis,,0.16
IMG_1479,Unknown,fire (color-based),color analysis,,0.16
IMG_1480,Unknown,fire (color-based),color analysis,,0.16
IMG_1481,Vehicle Accident,car,1 regions detected,,0.362
IMG_1482,Unknown,fire (color-based),color analysis,,0.16
IMG_1483,Unknown,vase,1 regions detected,,0.254
IMG_1484,Unknown,fire (color-based),color analysis,,0.18
IMG_1485,Unknown,fire (color-based),color analysis,,0.35
IMG_1486,Unknown,tie,2 regions detected,,0.34
IMG_1487,Unknown,pizza,1 regions detected,,0.329
IMG_1488,Fire Scene,pizza,1 regions detected,,0.285
IMG_1489,Assault / Violence,"pizza, broccoli, knife",3 regions detected,,0.582
IMG_1490,Unknown,fire (color-based),color analysis,,0.48
IMG_1491,Fire Scene,oven,1 regions detected,,0.258
IMG_1492,Fire Scene,fire (color-based),color analysis,,0.78
IMG_1493,Fire Scene,fire (color-based),color analysis,,0.83
IMG_1494,Unknown,fork,2 regions detected,,0.312
IMG_1495,Unknown,fire (color-based),color analysis,,0.09
IMG_1496,Unknown,fire (color-based),color analysis,,0.16
IMG_1497,Unknown,fire (color-based),color analysis,,0.41
IMG_1498,Unknown,carrot,1 regions detected,,0.302
IMG_1499,Assault / Violence,knife,1 regions detected,,0.471
IMG_1500,Unknown,vase,1 regions detected,,0.253
IMG_1501,Assault / Violence,knife,4 regions detected,,0.673
IMG_1502,Unknown,fork,2 regions detected,,0.365
IMG_1503,Unknown,fire (color-based),color analysis,,0.31
IMG_1504,Assault / Violence,"carrot, knife",4 regions detected,,0.528
IMG_1505,Unknown,fire (color-based),color analysis,,0.37
IMG_1506,Unknown,fire (color-based),color analysis,,0.26
IMG_1507,Unknown,fire (color-based),color analysis,,0.4
IMG_1508,Unknown,"fork, tie",2 regions detected,,0.646
IMG_1509,Unknown,fire (color-based),color analysis,,0.44
IMG_1510,Unknown,fire (color-based),color analysis,,0.29
IMG_1511,Unknown,airplane,1 regions detected,,0.313
IMG_1512,Fire Scene,fire (color-based),color analysis,,0.6
IMG_1513,Fire Scene,fire (color-based),color analysis,,0.52
IMG_1514,Assault / Violence,"tie, person",3 regions detected,,0.624
IMG_1515,Fire Scene,airplane,1 regions detected,,0.278
IMG_1516,Fire Scene,fork,1 regions detected,,0.385
IMG_1517,Unknown,fire (color-based),color analysis,,0.25
IMG_1518,Fire Scene,airplane,2 regions detected,,0.359
IMG_1519,Unknown,tie,1 regions detected,,0.369
IMG_1520,Fire Scene,"carrot, tie",2 regions detected,,0.574
IMG_1521,Fire Scene,fire (color-based),color analysis,,0.68
IMG_1522,Fire Scene,carrot,1 regions detected,,0.464
IMG_1523,Fire Scene,spoon,1 regions detected,,0.556
IMG_1524,Fire Scene,fork,1 regions detected,,0.289
IMG_1525,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1526,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1527,Fire Scene,carrot,2 regions detected,,0.374
IMG_1528,Fire Scene,carrot,1 regions detected,,0.479
IMG_1529,Fire Scene,carrot,1 regions detected,,0.587
IMG_1530,Unknown,fire (color-based),color analysis,,0.05
IMG_1531,Unknown,fire (color-based),color analysis,,0.06
IMG_1532,Unknown,fire (color-based),color analysis,,0.03
IMG_1533,Unknown,tie,1 regions detected,,0.415
IMG_1534,Unknown,tie,4 regions detected,,0.736
IMG_1535,Assault / Violence,knife,1 regions detected,,0.303
IMG_1536,Unknown,fire (color-based),color analysis,,0.06
IMG_1537,Unknown,fire (color-based),color analysis,,0.05
IMG_1538,Unknown,fire (color-based),color analysis,,0.14
IMG_1539,Unknown,tie,2 regions detected,,0.588
IMG_1540,Unknown,fire (color-based),color analysis,,0.01
IMG_1541,Unknown,fire (color-based),color analysis,,0.01
IMG_1542,Unknown,fire (color-based),color analysis,,0.0
IMG_1543,Unknown,fire (color-based),color analysis,,0.01
IMG_1544,Unknown,fire (color-based),color analysis,,0.01
IMG_1545,Unknown,fire (color-based),color analysis,,0.01
IMG_1546,Unknown,fire (color-based),color analysis,,0.0
IMG_1547,Assault / Violence,"tie, person",2 regions detected,,0.321
IMG_1548,Fire Scene,pizza,1 regions detected,,0.436
IMG_1549,Fire Scene,oven,1 regions detected,,0.694
IMG_1550,Fire Scene,pizza,1 regions detected,,0.484
IMG_1551,Fire Scene,"pizza, oven",2 regions detected,,0.602
IMG_1552,Fire Scene,"oven, tv",2 regions detected,,0.462
IMG_1553,Fire Scene,oven,2 regions detected,,0.395
IMG_1554,Fire Scene,"pizza, oven",2 regions detected,,0.587
IMG_1555,Fire Scene,fire (color-based),color analysis,,0.99
IMG_1556,Fire Scene,oven,1 regions detected,,0.336
IMG_1557,Unknown,fire (color-based),color analysis,,0.35
IMG_1558,Assault / Violence,knife,1 regions detected,,0.258
IMG_1559,Assault / Violence,"fork, knife",2 regions detected,,0.651
IMG_1560,Vehicle Accident,"car, airplane",2 regions detected,,0.488
IMG_1561,Unknown,fire (color-based),color analysis,,0.45
IMG_1562,Unknown,tie,2 regions detected,,0.709
IMG_1563,Unknown,fire (color-based),color analysis,,0.46
IMG_1564,Unknown,fire (color-based),color analysis,,0.38
IMG_1565,Unknown,fire (color-based),color analysis,,0.33
IMG_1566,Unknown,fire (color-based),color analysis,,0.06
IMG_1567,Fire Scene,tie,1 regions detected,,0.267
IMG_1568,Unknown,fire (color-based),color analysis,,0.47
IMG_1569,Assault / Violence,"fork, knife",2 regions detected,,0.667
IMG_1570,Unknown,fire (color-based),color analysis,,0.4
IMG_1571,Fire Scene,tie,1 regions detected,,0.654
IMG_1572,Unknown,tie,3 regions detected,,0.461
IMG_1573,Assault / Violence,"tie, person",3 regions detected,,0.492
IMG_1574,Unknown,vase,1 regions detected,,0.568
IMG_1575,Unknown,tie,2 regions detected,,0.408
IMG_1576,Unknown,fire (color-based),color analysis,,0.05
IMG_1577,Unknown,fire (color-based),color analysis,,0.05
IMG_1578,Unknown,fire (color-based),color analysis,,0.05
IMG_1579,Unknown,tie,1 regions detected,,0.361
IMG_1580,Unknown,fire (color-based),color analysis,,0.02
IMG_1581,Unknown,fire (color-based),color analysis,,0.05
IMG_1582,Unknown,tie,1 regions detected,,0.555
IMG_1583,Unknown,vase,1 regions detected,,0.32
IMG_1584,Unknown,fire (color-based),color analysis,,0.17
IMG_1585,Unknown,fire (color-based),color analysis,,0.22
IMG_1586,Unknown,fire (color-based),color analysis,,0.21
IMG_1587,Unknown,fire (color-based),color analysis,,0.22
IMG_1588,Unknown,tie,2 regions detected,,0.706
IMG_1589,Unknown,fire (color-based),color analysis,,0.17
IMG_1590,Unknown,fire (color-based),color analysis,,0.16
IMG_1591,Unknown,fire (color-based),color analysis,,0.18
IMG_1592,Unknown,vase,1 regions detected,,0.259
IMG_1593,Unknown,fire (color-based),color analysis,,0.0
IMG_1594,Unknown,vase,1 regions detected,,0.351
IMG_1595,Unknown,fire (color-based),color analysis,,0.01
IMG_1596,Unknown,tie,1 regions detected,,0.518
IMG_1597,Unknown,fire (color-based),color analysis,,0.01
IMG_1598,Assault / Violence,"fork, knife",2 regions detected,,0.558
IMG_1599,Assault / Violence,knife,1 regions detected,,0.372
IMG_1600,Unknown,vase,1 regions detected,,0.372
IMG_1601,Unknown,vase,1 regions detected,,0.351
IMG_1602,Unknown,fire (color-based),color analysis,,0.01
IMG_1603,Unknown,fire (color-based),color analysis,,0.01
IMG_1604,Unknown,tie,1 regions detected,,0.497
IMG_1605,Unknown,"airplane, mouse",2 regions detected,,0.298
IMG_1606,Unknown,fire (color-based),color analysis,,0.02
IMG_1607,Unknown,toilet,1 regions detected,,0.299
IMG_1608,Unknown,fire (color-based),color analysis,,0.0
IMG_1609,Unknown,fire (color-based),color analysis,,0.01
IMG_1610,Unknown,tie,1 regions detected,,0.476
IMG_1611,Unknown,fire (color-based),color analysis,,0.0
IMG_1612,Unknown,fire (color-based),color analysis,,0.01
IMG_1613,Assault / Violence,"tie, person",3 regions detected,,0.397
IMG_1614,Unknown,vase,1 regions detected,,0.283
IMG_1615,Unknown,fire (color-based),color analysis,,0.0
IMG_1616,Unknown,fire (color-based),color analysis,,0.01
IMG_1617,Unknown,tie,1 regions detected,,0.724
IMG_1618,Assault / Violence,knife,1 regions detected,,0.308
IMG_1619,Unknown,mouse,1 regions detected,,0.26
IMG_1620,Unknown,fire (color-based),color analysis,,0.0
IMG_1621,Unknown,fire (color-based),color analysis,,0.0
IMG_1622,Unknown,fire (color-based),color analysis,,0.0
IMG_1623,Unknown,fire (color-based),color analysis,,0.0
IMG_1624,Unknown,fire (color-based),color analysis,,0.0
IMG_1625,Unknown,fire (color-based),color analysis,,0.0
IMG_1626,Unknown,fire (color-based),color analysis,,0.0
IMG_1627,Unknown,airplane,1 regions detected,,0.277
IMG_1628,Unknown,tie,1 regions detected,,0.489
IMG_1629,Unknown,fire (color-based),color analysis,,0.0
IMG_1630,Unknown,vase,1 regions detected,,0.277
IMG_1631,Unknown,fire (color-based),color analysis,,0.0
IMG_1632,Unknown,tie,1 regions detected,,0.411
IMG_1633,Unknown,airplane,1 regions detected,,0.407
IMG_1634,Unknown,vase,1 regions detected,,0.382
IMG_1635,Unknown,fire (color-based),color analysis,,0.0
IMG_1636,Unknown,tie,1 regions detected,,0.346
IMG_1637,Unknown,tie,1 regions detected,,0.31
IMG_1638,Assault / Violence,"tie, knife",3 regions detected,,0.722
IMG_1639,Assault / Violence,"pizza, knife, sandwich",3 regions detected,,0.541
IMG_1640,Unknown,tie,2 regions detected,,0.693
IMG_1641,Unknown,oven,1 regions detected,,0.256
IMG_1642,Unknown,oven,1 regions detected,,0.279
IMG_1643,Unknown,tie,1 regions detected,,0.308
IMG_1644,Unknown,fire (color-based),color analysis,,0.27
IMG_1645,Unknown,oven,1 regions detected,,0.567
IMG_1646,Unknown,oven,1 regions detected,,0.662
IMG_1647,Fire Scene,airplane,2 regions detected,,0.307
IMG_1648,Unknown,tie,1 regions detected,,0.299
IMG_1649,Unknown,fire (color-based),color analysis,,0.39
IMG_1650,Unknown,carrot,1 regions detected,,0.319
IMG_1651,Fire Scene,fire (color-based),color analysis,,0.62
IMG_1652,Fire Scene,"refrigerator, bottle",2 regions detected,,0.591
IMG_1653,Unknown,fire (color-based),color analysis,,0.35
IMG_1654,Unknown,bench,2 regions detected,,0.772
IMG_1655,Assault / Violence,"chair, tv, person, couch",5 regions detected,,0.86
IMG_1656,Fire Scene,airplane,1 regions detected,,0.262
IMG_1657,Unknown,fire (color-based),color analysis,,0.05
